Team,SRS,Arena,Attend.,Attend./G,season,team_nickname
Golden State Warriors,10.01,Oracle Arena,803436.0,19596.0,2015,Warriors
Los Angeles Clippers,6.8,STAPLES Center,785892.0,19168.0,2015,Clippers
San Antonio Spurs,6.34,AT&T Center,762855.0,18606.0,2015,Spurs
Atlanta Hawks,4.75,Philips Arena,713909.0,17412.0,2015,Hawks
Cleveland Cavaliers,4.08,Quicken Loans Arena,843042.0,20562.0,2015,Cavaliers
Portland Trail Blazers,4.41,Moda Center,798368.0,19472.0,2015,Trail Blazers
Houston Rockets,3.82,Toyota Center,747412.0,18230.0,2015,Rockets
Memphis Grizzlies,3.62,FedEx Forum,710502.0,17329.0,2015,Grizzlies
Toronto Raptors,2.45,Air Canada Centre,809824.0,19752.0,2015,Raptors
Chicago Bulls,2.54,United Center,886612.0,21625.0,2015,Bulls
Dallas Mavericks,3.36,American Airlines Center,827702.0,20188.0,2015,Mavericks
Oklahoma City Thunder,2.47,Chesapeake Energy Arena,746323.0,18203.0,2015,Thunder
New Orleans Pelicans,1.13,Smoothie King Center,683757.0,16677.0,2015,Pelicans
Washington Wizards,0.17,Verizon Center,747796.0,18239.0,2015,Wizards
Milwaukee Bucks,-0.09,BMO Harris Bradley Center,593910.0,14813.0,2015,Bucks
Indiana Pacers,-0.23,Bankers Life Fieldhouse,691434.0,16864.0,2015,Pacers
Utah Jazz,0.71,EnergySolutions Arena,772059.0,18831.0,2015,Jazz
Boston Celtics,-0.4,TD Garden,721350.0,17594.0,2015,Celtics
Phoenix Suns,-0.38,US Airways Center,693862.0,16923.0,2015,Suns
Detroit Pistons,-1.39,The Palace of Auburn Hills,625917.0,15266.0,2015,Pistons
Miami Heat,-2.92,AmericanAirlines Arena,808223.0,19713.0,2015,Heat
Brooklyn Nets,-3.13,Barclays Center,698529.0,17037.0,2015,Nets
Charlotte Hornets,-3.44,Time Warner Cable Arena,704886.0,17192.0,2015,Hornets
Denver Nuggets,-3.07,Pepsi Center,602707.0,14700.0,2015,Nuggets
Sacramento Kings,-3.07,Sleep Train Arena,680049.0,16587.0,2015,Kings
Orlando Magic,-5.87,Amway Center,688194.0,16785.0,2015,Magic
Los Angeles Lakers,-6.17,STAPLES Center,768244.0,18738.0,2015,Lakers
Minnesota Timberwolves,-8.0,Target Center,595652.0,14416.0,2015,Timberwolves
Philadelphia 76ers,-9.04,Wells Fargo Center,571572.0,13941.0,2015,76ers
New York Knicks,-9.5,Madison Square Garden (IV),812292.0,19812.0,2015,Knicks
San Antonio Spurs,10.28,AT&T Center,756445.0,18450.0,2016,Spurs
Golden State Warriors,10.38,Oracle Arena,803436.0,19596.0,2016,Warriors
Oklahoma City Thunder,7.09,Chesapeake Energy Arena,746323.0,18203.0,2016,Thunder
Cleveland Cavaliers,5.45,Quicken Loans Arena,843042.0,20562.0,2016,Cavaliers
Toronto Raptors,4.08,Air Canada Centre,812863.0,19826.0,2016,Raptors
Los Angeles Clippers,4.13,STAPLES Center,786910.0,19193.0,2016,Clippers
Atlanta Hawks,3.49,Philips Arena,690150.0,16833.0,2016,Hawks
Boston Celtics,2.84,TD Garden,749076.0,18270.0,2016,Celtics
Charlotte Hornets,2.36,Time Warner Cable Arena,716894.0,17485.0,2016,Hornets
Utah Jazz,1.84,Vivint Smart Home Arena,791489.0,19305.0,2016,Jazz
Miami Heat,1.5,AmericanAirlines Arena,809350.0,19740.0,2016,Heat
Indiana Pacers,1.62,Bankers Life Fieldhouse,690733.0,16847.0,2016,Pacers
Portland Trail Blazers,0.98,Moda Center,794085.0,19368.0,2016,Trail Blazers
