home_score,committing_team,national_tv,committing_side,call_type,home_team,away_team,time_min,gid,time2,date,season,decision,time,away,time_sec,period,disadvantaged_side,away_score,playoff,home,disadvantaged_team,ATTENDANCE
105,CLE,NBATV,away,Foul: Shooting,Rockets,Cavaliers,1,21400883,1.7166666666666668,2015-03-01,2015,CC,01:43.0,CLE,43.0,Q4,home,103,0,HOU,HOU,18345.0
105,HOU,NBATV,home,Foul: Shooting,Rockets,Cavaliers,1,21400883,1.5333333333333332,2015-03-01,2015,CC,01:32.0,CLE,32.0,Q4,away,103,0,HOU,CLE,18345.0
105,HOU,NBATV,home,Foul: Loose Ball,Rockets,Cavaliers,1,21400883,1.15,2015-03-01,2015,CC,01:09.0,CLE,9.0,Q4,away,103,0,HOU,CLE,18345.0
105,CLE,NBATV,away,Foul: Shooting,Rockets,Cavaliers,4,21400883,4.566666666666666,2015-03-01,2015,CC,04:34.0,CLE,34.0,Q5,home,103,0,HOU,HOU,18345.0
105,,NBATV,,Instant Replay: Support Ruling,Rockets,Cavaliers,4,21400883,4.566666666666666,2015-03-01,2015,CC,04:34.0,CLE,34.0,Q5,,103,0,HOU,,18345.0
105,CLE,NBATV,away,Foul: Double Personal,Rockets,Cavaliers,3,21400883,3.9,2015-03-01,2015,INC,03:54.0,CLE,54.0,Q5,home,103,0,HOU,HOU,18345.0
105,CLE,NBATV,away,Foul: Shooting,Rockets,Cavaliers,2,21400883,2.35,2015-03-01,2015,CC,02:21.0,CLE,21.0,Q5,home,103,0,HOU,HOU,18345.0
105,HOU,NBATV,home,Foul: Offensive,Rockets,Cavaliers,1,21400883,1.0333333333333334,2015-03-01,2015,INC,01:02.0,CLE,2.0,Q5,away,103,0,HOU,CLE,18345.0
105,CLE,NBATV,away,Foul: Personal,Rockets,Cavaliers,1,21400883,1.0166666666666666,2015-03-01,2015,INC,01:01.0,CLE,1.0,Q5,home,103,0,HOU,HOU,18345.0
105,,NBATV,,Turnover: 24 Second Violation,Rockets,Cavaliers,0,21400883,0.9316666666666666,2015-03-01,2015,CC,00:55.9,CLE,55.9,Q5,,103,0,HOU,,18345.0
105,HOU,NBATV,home,Foul: Shooting,Rockets,Cavaliers,0,21400883,0.07,2015-03-01,2015,CC,00:04.2,CLE,4.2,Q5,away,103,0,HOU,CLE,18345.0
105,CLE,NBATV,away,Foul: Personal,Rockets,Cavaliers,0,21400883,0.025,2015-03-01,2015,CC,00:01.5,CLE,1.5,Q5,home,103,0,HOU,HOU,18345.0
105,CLE,NBATV,away,Foul: Personal,Rockets,Cavaliers,0,21400883,0.01,2015-03-01,2015,CC,00:00.6,CLE,0.6,Q5,home,103,0,HOU,HOU,18345.0
105,,NBATV,,Instant Replay: Support Ruling,Rockets,Cavaliers,0,21400883,0.005,2015-03-01,2015,CC,00:00.3,CLE,0.3,Q5,,103,0,HOU,,18345.0
101,GSW,no,away,Turnover: Traveling,Celtics,Warriors,2,21400880,2.0,2015-03-01,2015,CC,02:00.0,GSW,0.0,Q4,,106,0,BOS,,18624.0
101,BOS,no,home,Turnover: Traveling,Celtics,Warriors,0,21400880,0.4133333333333333,2015-03-01,2015,INC,00:24.8,GSW,24.8,Q4,away,106,0,BOS,GSW,18624.0
101,BOS,no,home,Turnover: Out of Bounds,Celtics,Warriors,0,21400880,0.3766666666666667,2015-03-01,2015,INC,00:22.6,GSW,22.6,Q4,,106,0,BOS,,18624.0
101,GSW,no,away,Foul: Personal,Celtics,Warriors,0,21400880,0.2966666666666667,2015-03-01,2015,CC,00:17.8,GSW,17.8,Q4,home,106,0,BOS,BOS,18624.0
101,BOS,no,home,Foul: Personal,Celtics,Warriors,0,21400880,0.175,2015-03-01,2015,CC,00:10.5,GSW,10.5,Q4,away,106,0,BOS,GSW,18624.0
101,BOS,no,home,Foul: Personal,Celtics,Warriors,0,21400880,0.0483333333333333,2015-03-01,2015,CC,00:02.9,GSW,2.9,Q4,away,106,0,BOS,GSW,18624.0
92,DEN,no,home,Foul: Shooting,Nuggets,Pelicans,1,21400884,1.95,2015-03-01,2015,CC,01:57.0,NOP,57.0,Q4,away,99,0,DEN,NOP,13109.0
92,NOP,no,away,Foul: Shooting,Nuggets,Pelicans,1,21400884,1.8333333333333333,2015-03-01,2015,CC,01:50.0,NOP,50.0,Q4,home,99,0,DEN,DEN,13109.0
92,DEN,no,home,Foul: Personal,Nuggets,Pelicans,1,21400884,1.5,2015-03-01,2015,CC,01:30.0,NOP,30.0,Q4,away,99,0,DEN,NOP,13109.0
92,,no,,Stoppage: Out-of-Bounds,Nuggets,Pelicans,1,21400884,1.3833333333333333,2015-03-01,2015,CC,01:23.0,NOP,23.0,Q4,,99,0,DEN,,13109.0
92,DEN,no,home,Foul: Personal,Nuggets,Pelicans,1,21400884,1.35,2015-03-01,2015,CC,01:21.0,NOP,21.0,Q4,away,99,0,DEN,NOP,13109.0
92,NOP,no,away,Foul: Shooting,Nuggets,Pelicans,1,21400884,1.15,2015-03-01,2015,CC,01:09.0,NOP,9.0,Q4,home,99,0,DEN,DEN,13109.0
92,NOP,no,away,Foul: Loose Ball,Nuggets,Pelicans,1,21400884,1.1333333333333333,2015-03-01,2015,INC,01:08.0,NOP,8.0,Q4,home,99,0,DEN,DEN,13109.0
92,,no,,Instant Replay: Support Ruling,Nuggets,Pelicans,1,21400884,1.1166666666666667,2015-03-01,2015,CC,01:07.0,NOP,7.0,Q4,,99,0,DEN,,13109.0
92,,no,,Stoppage: Out-of-Bounds,Nuggets,Pelicans,1,21400884,1.1166666666666667,2015-03-01,2015,CC,01:07.0,NOP,7.0,Q4,,99,0,DEN,,13109.0
92,DEN,no,home,Foul: Personal,Nuggets,Pelicans,1,21400884,1.0166666666666666,2015-03-01,2015,CC,01:01.0,NOP,1.0,Q4,away,99,0,DEN,NOP,13109.0
92,DEN,no,home,Foul: Personal,Nuggets,Pelicans,0,21400884,0.785,2015-03-01,2015,CC,00:47.1,NOP,47.1,Q4,away,99,0,DEN,NOP,13109.0
92,DEN,no,home,Foul: Personal,Nuggets,Pelicans,0,21400884,0.6383333333333333,2015-03-01,2015,CC,00:38.3,NOP,38.3,Q4,away,99,0,DEN,NOP,13109.0
92,DEN,no,home,Foul: Personal,Nuggets,Pelicans,0,21400884,0.4733333333333333,2015-03-01,2015,CC,00:28.4,NOP,28.4,Q4,away,99,0,DEN,NOP,13109.0
110,BKN,no,home,Foul: Shooting,Nets,Warriors,1,21400886,1.7166666666666668,2015-03-02,2015,CC,01:43.0,GSW,43.0,Q4,away,108,0,BKN,GSW,17732.0
110,,no,,Instant Replay: Overturn Ruling,Nets,Warriors,0,21400886,0.85,2015-03-02,2015,CC,00:51.0,GSW,51.0,Q4,,108,0,BKN,,17732.0
110,GSW,no,away,Foul: Personal,Nets,Warriors,0,21400886,0.825,2015-03-02,2015,CC,00:49.5,GSW,49.5,Q4,home,108,0,BKN,BKN,17732.0
105,LAC,no,away,Foul: Personal,Timberwolves,Clippers,1,21400888,1.7166666666666668,2015-03-02,2015,CC,01:43.0,LAC,43.0,Q4,home,110,0,MIN,MIN,18239.0
105,LAC,no,away,Foul: Shooting,Timberwolves,Clippers,1,21400888,1.3333333333333333,2015-03-02,2015,INC,01:20.0,LAC,20.0,Q4,home,110,0,MIN,MIN,18239.0
105,LAC,no,away,Foul: Technical,Timberwolves,Clippers,1,21400888,1.1,2015-03-02,2015,CC,01:06.0,LAC,6.0,Q4,,110,0,MIN,,18239.0
105,MIN,no,home,Foul: Double Technical,Timberwolves,Clippers,1,21400888,1.1,2015-03-02,2015,CC,01:06.0,LAC,6.0,Q4,away,110,0,MIN,LAC,18239.0
105,MIN,no,home,Foul: Shooting,Timberwolves,Clippers,1,21400888,1.1,2015-03-02,2015,CC,01:06.0,LAC,6.0,Q4,away,110,0,MIN,LAC,18239.0
105,LAC,no,away,Ejection: Second Technical,Timberwolves,Clippers,1,21400888,1.1,2015-03-02,2015,CC,01:06.0,LAC,6.0,Q4,,110,0,MIN,,18239.0
105,MIN,no,home,Turnover: Traveling,Timberwolves,Clippers,1,21400888,1.0166666666666666,2015-03-02,2015,INC,01:01.0,LAC,1.0,Q4,,110,0,MIN,,18239.0
105,LAC,no,away,Foul: Personal,Timberwolves,Clippers,1,21400888,1.0,2015-03-02,2015,IC,01:00.0,LAC,0.0,Q4,home,110,0,MIN,MIN,18239.0
105,LAC,no,away,Foul: Personal,Timberwolves,Clippers,0,21400888,0.5549999999999999,2015-03-02,2015,CC,00:33.3,LAC,33.3,Q4,home,110,0,MIN,MIN,18239.0
105,LAC,no,away,Foul: Loose Ball,Timberwolves,Clippers,0,21400888,0.2716666666666666,2015-03-02,2015,INC,00:16.3,LAC,16.3,Q4,home,110,0,MIN,MIN,18239.0
105,MIN,no,home,Foul: Personal,Timberwolves,Clippers,0,21400888,0.155,2015-03-02,2015,CC,00:09.3,LAC,9.3,Q4,away,110,0,MIN,LAC,18239.0
104,ATL,no,home,Foul: Shooting,Hawks,Rockets,1,21400892,1.25,2015-03-03,2015,CC,01:15.0,HOU,15.0,Q4,away,96,0,ATL,HOU,18968.0
104,,no,,Instant Replay: Support Ruling,Hawks,Rockets,0,21400892,0.9766666666666668,2015-03-03,2015,CC,00:58.6,HOU,58.6,Q4,,96,0,ATL,,18968.0
104,HOU,no,away,Foul: Personal,Hawks,Rockets,0,21400892,0.9766666666666668,2015-03-03,2015,CC,00:58.6,HOU,58.6,Q4,home,96,0,ATL,ATL,18968.0
104,HOU,no,away,Foul: Personal,Hawks,Rockets,0,21400892,0.8616666666666667,2015-03-03,2015,CC,00:51.7,HOU,51.7,Q4,home,96,0,ATL,ATL,18968.0
104,HOU,no,away,Foul: Personal,Hawks,Rockets,0,21400892,0.5583333333333333,2015-03-03,2015,CC,00:33.5,HOU,33.5,Q4,home,96,0,ATL,ATL,18968.0
104,HOU,no,away,Foul: Personal,Hawks,Rockets,0,21400892,0.2633333333333333,2015-03-03,2015,CC,00:15.8,HOU,15.8,Q4,home,96,0,ATL,ATL,18968.0
104,LAL,no,away,Foul: Shooting,Hornets,Lakers,1,21400890,1.6166666666666667,2015-03-03,2015,CC,01:37.0,LAL,37.0,Q4,home,103,0,CHA,CHA,16947.0
104,,no,,Instant Replay: Overturn Ruling,Hornets,Lakers,1,21400890,1.6,2015-03-03,2015,CC,01:36.0,LAL,36.0,Q4,,103,0,CHA,,16947.0
104,LAL,no,away,Foul: Personal,Hornets,Lakers,0,21400890,0.3116666666666666,2015-03-03,2015,CC,00:18.7,LAL,18.7,Q4,home,103,0,CHA,CHA,16947.0
104,CHA,no,home,Foul: Shooting,Hornets,Lakers,0,21400890,0.2416666666666666,2015-03-03,2015,CC,00:14.5,LAL,14.5,Q4,away,103,0,CHA,LAL,16947.0
104,LAL,no,away,Foul: Personal,Hornets,Lakers,0,21400890,0.2316666666666666,2015-03-03,2015,CC,00:13.9,LAL,13.9,Q4,home,103,0,CHA,CHA,16947.0
104,LAL,no,away,Turnover: Traveling,Hornets,Lakers,0,21400890,0.22,2015-03-03,2015,INC,00:13.2,LAL,13.2,Q4,,103,0,CHA,,16947.0
104,LAL,no,away,Foul: Personal,Hornets,Lakers,0,21400890,0.1316666666666666,2015-03-03,2015,CC,00:07.9,LAL,7.9,Q4,home,103,0,CHA,CHA,16947.0
104,LAL,no,away,Foul: Personal,Hornets,Lakers,0,21400890,0.0583333333333333,2015-03-03,2015,CC,00:03.5,LAL,3.5,Q4,home,103,0,CHA,CHA,16947.0
104,,no,,Instant Replay: Support Ruling,Hornets,Lakers,0,21400890,0.0,2015-03-03,2015,CC,00:00.0,LAL,0.0,Q4,,103,0,CHA,,16947.0
97,WAS,no,away,Foul: Shooting,Bulls,Wizards,1,21400893,1.6666666666666663,2015-03-03,2015,INC,01:40.0,WAS,40.0,Q4,home,92,0,CHI,CHI,21468.0
97,CHI,no,home,Turnover: Out of Bounds,Bulls,Wizards,1,21400893,1.0833333333333333,2015-03-03,2015,IC,01:05.0,WAS,5.0,Q4,,92,0,CHI,,21468.0
97,WAS,no,away,Foul: Shooting,Bulls,Wizards,0,21400893,0.6566666666666666,2015-03-03,2015,INC,00:39.4,WAS,39.4,Q4,home,92,0,CHI,CHI,21468.0
97,WAS,no,away,Foul: Personal,Bulls,Wizards,0,21400893,0.5916666666666667,2015-03-03,2015,CC,00:35.5,WAS,35.5,Q4,home,92,0,CHI,CHI,21468.0
97,CHI,no,home,Foul: Shooting,Bulls,Wizards,0,21400893,0.4833333333333333,2015-03-03,2015,CC,00:29.0,WAS,29.0,Q4,away,92,0,CHI,WAS,21468.0
