attendance,away,away_score,away_team,date,gid,home,home_score,home_team,national_tv,playoff,season,beta,delta,home_IC,home_INC,away_IC,away_INC,n_plays,whos_favored,spread,id_spread,home_fav,home_covered,score_diff,period,nwg,ar,nwg_direction,spread_signed,cover_check,id_spread_match,score_home_match,score_away_match
18345,CLE,103,Cavaliers,2015-03-01,21400883,HOU,105,Rockets,NBATV,0,2015,1,2,0,1,0,2,21,home,0.0,1.0,True,1.0,2.0,Pre-COVID,-1,0.3333333333333333,NWG < 0,-0.0,1.0,True,True,True
18624,GSW,106,Warriors,2015-03-01,21400880,BOS,101,Celtics,no,0,2015,2,0,0,2,0,0,9,away,8.0,0.0,False,1.0,-5.0,Pre-COVID,2,1.0,NWG > 0,8.0,1.0,True,True,True
13109,NOP,99,Pelicans,2015-03-01,21400884,DEN,92,Nuggets,no,0,2015,0,1,0,0,0,1,13,away,4.5,1.0,False,0.0,-7.0,Pre-COVID,-1,0.0,NWG < 0,4.5,0.0,True,True,True
17732,GSW,108,Warriors,2015-03-02,21400886,BKN,110,Nets,no,0,2015,0,0,0,0,0,0,8,away,5.5,0.0,False,1.0,2.0,Pre-COVID,0,,NWG = 0,5.5,1.0,True,True,True
18239,LAC,110,Clippers,2015-03-02,21400888,MIN,105,Timberwolves,no,0,2015,2,2,0,1,1,2,15,away,6.5,0.0,False,1.0,-5.0,Pre-COVID,0,0.5,NWG = 0,6.5,1.0,True,True,True
18968,HOU,96,Rockets,2015-03-03,21400892,ATL,104,Hawks,no,0,2015,0,0,0,0,0,0,11,home,8.5,0.0,True,0.0,8.0,Pre-COVID,0,,NWG = 0,-8.5,0.0,True,True,True
16947,LAL,103,Lakers,2015-03-03,21400890,CHA,104,Hornets,no,0,2015,0,0,0,0,0,1,11,home,9.0,0.0,True,0.0,1.0,Pre-COVID,0,,NWG = 0,-9.0,0.0,True,True,True
21468,WAS,92,Wizards,2015-03-03,21400893,CHI,97,Bulls,no,0,2015,0,4,1,0,0,3,9,away,1.5,0.0,False,1.0,5.0,Pre-COVID,-4,0.0,NWG < 0,1.5,1.0,True,True,True
19800,CLE,120,Cavaliers,2015-03-04,21400900,TOR,112,Raptors,no,0,2015,0,0,0,0,0,0,7,away,4.5,1.0,False,0.0,-8.0,Pre-COVID,0,,NWG = 0,4.5,0.0,True,True,True
16925,DET,85,Pistons,2015-03-04,21400903,NOP,88,Pelicans,no,0,2015,0,0,0,0,0,0,6,home,5.0,0.0,True,0.0,3.0,Pre-COVID,0,,NWG = 0,-5.0,0.0,True,True,True
19600,LAL,94,Lakers,2015-03-04,21400905,MIA,100,Heat,ESPN,0,2015,1,0,0,0,1,0,7,home,9.5,0.0,True,0.0,6.0,Pre-COVID,1,1.0,NWG > 0,-9.5,0.0,True,True,True
18224,MEM,102,Grizzlies,2015-03-04,21400901,HOU,100,Rockets,no,0,2015,0,2,0,0,0,3,10,home,3.0,0.0,True,0.0,-2.0,Pre-COVID,-2,0.0,NWG < 0,-3.0,0.0,True,True,True
18203,PHI,118,76ers,2015-03-04,21400904,OKC,123,Thunder,no,0,2015,1,0,0,1,0,0,23,home,15.0,0.0,True,0.0,5.0,Pre-COVID,1,1.0,NWG > 0,-15.0,0.0,True,True,True
19060,POR,98,Trail Blazers,2015-03-04,21400908,LAC,93,Clippers,ESPN,0,2015,4,1,0,4,0,1,17,away,1.5,1.0,False,0.0,-5.0,Pre-COVID,3,0.8,NWG > 0,1.5,0.0,True,True,True
21696,OKC,105,Thunder,2015-03-05,21400909,CHI,108,Bulls,TNT,0,2015,0,0,0,0,0,1,13,away,1.5,0.0,False,1.0,3.0,Pre-COVID,0,,NWG = 0,1.5,1.0,True,True,True
17399,LAL,90,Lakers,2015-03-06,21400918,MEM,97,Grizzlies,no,0,2015,0,1,1,0,0,1,14,home,10.0,0.0,True,0.0,7.0,Pre-COVID,-1,0.0,NWG < 0,-10.0,0.0,True,True,True
