gid,beta,total_errors,playoff,season,date,home,away,home_elo,away_elo,team1,team2,elo1_pre,elo2_pre,elo_diff,season_int,AR
12100023,1,2,0,2022,2021-10-07,PHI,TOR,PHI,TOR,,,,,40.56189140000015,2022,0.5
21400880,2,2,0,2015,2015-03-01,BOS,GSW,BOS,GSW,BOS,GSW,1427.5938,1726.9042,-299.31039999999985,2015,1.0
21400883,1,3,0,2015,2015-03-01,HOU,CLE,HOU,CLE,HOU,CLE,1619.2689,1601.0841,18.184799999999996,2015,0.3333333333333333
21400884,0,1,0,2015,2015-03-01,DEN,NOP,DEN,NOP,DEN,NOP,1361.0129,1485.3468,-124.33390000000009,2015,0.0
21400888,2,4,0,2015,2015-03-02,MIN,LAC,MIN,LAC,MIN,LAC,1362.9276,1672.9873,-310.0597,2015,0.5
21400890,0,1,0,2015,2015-03-03,CHA,LAL,CHO,LAL,CHO,LAL,1464.8566,1356.0547,108.80190000000016,2015,0.0
21400893,0,4,0,2015,2015-03-03,CHI,WAS,CHI,WAS,CHI,WAS,1553.1472,1460.9078,92.23940000000016,2015,0.0
21400901,0,3,0,2015,2015-03-04,HOU,MEM,HOU,MEM,HOU,MEM,1617.4182,1604.6254,12.79280000000017,2015,0.0
21400904,1,1,0,2015,2015-03-04,OKC,PHI,OKC,PHI,OKC,PHI,1624.5492,1287.8823,336.66689999999994,2015,1.0
21400905,1,1,0,2015,2015-03-04,MIA,LAL,MIA,LAL,MIA,LAL,1465.8827,1354.4537,111.42900000000009,2015,1.0
21400908,4,5,0,2015,2015-03-04,LAC,POR,LAC,POR,LAC,POR,1675.7568,1622.5796,53.177200000000084,2015,0.8
21400909,0,1,0,2015,2015-03-05,CHI,OKC,CHI,OKC,CHI,OKC,1556.1786,1625.3306,-69.15200000000004,2015,0.0
21400913,1,1,0,2015,2015-03-06,ORL,SAC,ORL,SAC,ORL,SAC,1305.6655,1408.1774,-102.51189999999997,2015,1.0
21400916,2,5,0,2015,2015-03-06,BKN,PHX,BRK,PHO,BRK,PHO,1470.2637,1506.5392,-36.275499999999965,2015,0.4
21400918,0,2,0,2015,2015-03-06,MEM,LAL,MEM,LAL,MEM,LAL,1611.6025,1351.4318,260.1706999999999,2015,0.0
21400920,0,1,0,2015,2015-03-06,WAS,MIA,WAS,MIA,WAS,MIA,1457.8765,1468.9047,-11.02819999999997,2015,0.0
21400923,1,2,0,2015,2015-03-07,NOP,MEM,NOP,MEM,NOP,MEM,1478.9233,1613.0618,-134.13850000000002,2015,0.5
21400925,0,1,0,2015,2015-03-07,MIA,SAC,MIA,SAC,MIA,SAC,1465.5244,1401.0748,64.44959999999992,2015,0.0
21400926,0,1,0,2015,2015-03-07,NYK,IND,NYK,IND,NYK,IND,1279.8043,1513.2635,-233.4592,2015,0.0
21400929,1,1,0,2015,2015-03-07,MIL,WAS,MIL,WAS,MIL,WAS,1499.8068,1461.2567,38.55010000000016,2015,1.0
21400942,1,1,0,2015,2015-03-09,MIL,NOP,MIL,NOP,MIL,NOP,1504.1302,1487.6519,16.47829999999999,2015,1.0
21400951,0,1,0,2015,2015-03-10,LAL,DET,LAL,DET,LAL,DET,1345.0282,1429.8944,-84.86619999999994,2015,0.0
21400953,3,4,0,2015,2015-03-11,PHI,CHI,PHI,CHI,PHI,CHI,1302.8069,1533.4741,-230.66719999999987,2015,0.75
21400954,0,2,0,2015,2015-03-11,BOS,MEM,BOS,MEM,BOS,MEM,1443.986,1616.3285,-172.34249999999997,2015,0.0
21400962,1,3,0,2015,2015-03-12,IND,MIL,IND,MIL,IND,MIL,1523.3566,1490.2418,33.11480000000006,2015,0.3333333333333333
