gid,decision,committing_side,disadvantaged_side,call_type,season,playoff,period,time,time2,time_min,time_sec,date,home,away,home_team,away_team
21400883,CC,away,home,Foul: Shooting,2015,0,Q4,01:43.0,1.7166666666666668,1,43.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,home,away,Foul: Shooting,2015,0,Q4,01:32.0,1.5333333333333332,1,32.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,home,away,Foul: Loose Ball,2015,0,Q4,01:09.0,1.15,1,9.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,away,home,Foul: Shooting,2015,0,Q5,04:34.0,4.566666666666666,4,34.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,,,Instant Replay: Support Ruling,2015,0,Q5,04:34.0,4.566666666666666,4,34.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,INC,away,home,Foul: Double Personal,2015,0,Q5,03:54.0,3.9,3,54.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,away,home,Foul: Shooting,2015,0,Q5,02:21.0,2.35,2,21.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,INC,home,away,Foul: Offensive,2015,0,Q5,01:02.0,1.0333333333333334,1,2.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,INC,away,home,Foul: Personal,2015,0,Q5,01:01.0,1.0166666666666666,1,1.0,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,,,Turnover: 24 Second Violation,2015,0,Q5,00:55.9,0.9316666666666666,0,55.9,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,home,away,Foul: Shooting,2015,0,Q5,00:04.2,0.07,0,4.2,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,away,home,Foul: Personal,2015,0,Q5,00:01.5,0.025,0,1.5,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,away,home,Foul: Personal,2015,0,Q5,00:00.6,0.01,0,0.6,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400883,CC,,,Instant Replay: Support Ruling,2015,0,Q5,00:00.3,0.005,0,0.3,2015-03-01,HOU,CLE,Rockets,Cavaliers
21400880,CC,away,,Turnover: Traveling,2015,0,Q4,02:00.0,2.0,2,0.0,2015-03-01,BOS,GSW,Celtics,Warriors
21400880,INC,home,away,Turnover: Traveling,2015,0,Q4,00:24.8,0.4133333333333333,0,24.8,2015-03-01,BOS,GSW,Celtics,Warriors
21400880,INC,home,,Turnover: Out of Bounds,2015,0,Q4,00:22.6,0.3766666666666667,0,22.6,2015-03-01,BOS,GSW,Celtics,Warriors
21400880,CC,away,home,Foul: Personal,2015,0,Q4,00:17.8,0.2966666666666667,0,17.8,2015-03-01,BOS,GSW,Celtics,Warriors
21400880,CC,home,away,Foul: Personal,2015,0,Q4,00:10.5,0.175,0,10.5,2015-03-01,BOS,GSW,Celtics,Warriors
21400880,CC,home,away,Foul: Personal,2015,0,Q4,00:02.9,0.0483333333333333,0,2.9,2015-03-01,BOS,GSW,Celtics,Warriors
21400884,CC,home,away,Foul: Shooting,2015,0,Q4,01:57.0,1.95,1,57.0,2015-03-01,DEN,NOP,Nuggets,Pelicans
21400884,CC,away,home,Foul: Shooting,2015,0,Q4,01:50.0,1.8333333333333333,1,50.0,2015-03-01,DEN,NOP,Nuggets,Pelicans
21400884,CC,home,away,Foul: Personal,2015,0,Q4,01:30.0,1.5,1,30.0,2015-03-01,DEN,NOP,Nuggets,Pelicans
21400884,CC,,,Stoppage: Out-of-Bounds,2015,0,Q4,01:23.0,1.3833333333333333,1,23.0,2015-03-01,DEN,NOP,Nuggets,Pelicans
